"binary","filename","configuration","rate","time"
"old","process/bench-env.js","operation=""get"" n=1000000",365350.77560511616,2.737095599
"old","process/bench-env.js","operation=""set"" n=1000000",412300.5213080789,2.425415318
"old","process/bench-env.js","operation=""enumerate"" n=1000000",5271.897994344729,18.968500549
"old","process/bench-env.js","operation=""query"" n=1000000",596722.5551899935,1.675820683
"old","process/bench-env.js","operation=""delete"" n=1000000",467125.49336422427,2.140752355
"new","process/bench-env.js","operation=""get"" n=1000000",374193.35587306466,2.672415168
"new","process/bench-env.js","operation=""set"" n=1000000",380718.9291812594,2.626609615
"new","process/bench-env.js","operation=""enumerate"" n=1000000",5238.577139521022,19.089152901
"new","process/bench-env.js","operation=""query"" n=1000000",574529.0374053703,1.740556064
"new","process/bench-env.js","operation=""delete"" n=1000000",475979.0637429273,2.100932743
"old","process/bench-env.js","operation=""get"" n=1000000",365350.77560511616,2.737095599
"old","process/bench-env.js","operation=""set"" n=1000000",412300.5213080789,2.425415318
"old","process/bench-env.js","operation=""enumerate"" n=1000000",5271.897994344729,18.968500549
"old","process/bench-env.js","operation=""query"" n=1000000",596722.5551899935,1.675820683
"old","process/bench-env.js","operation=""delete"" n=1000000",467125.49336422427,2.140752355
"new","process/bench-env.js","operation=""get"" n=1000000",364195.4132634558,2.745778677
"new","process/bench-env.js","operation=""set"" n=1000000",408342.645230058,2.448923745
"new","process/bench-env.js","operation=""enumerate"" n=1000000",5247.025083222283,19.058418516
"new","process/bench-env.js","operation=""query"" n=1000000",590712.2482156752,1.692871619
"new","process/bench-env.js","operation=""delete"" n=1000000",477979.839012098,2.092138451
"old","process/bench-env.js","operation=""get"" n=1000000",365350.77560511616,2.737095599
"old","process/bench-env.js","operation=""set"" n=1000000",412300.5213080789,2.425415318
"old","process/bench-env.js","operation=""enumerate"" n=1000000",5271.897994344729,18.968500549
"old","process/bench-env.js","operation=""query"" n=1000000",596722.5551899935,1.675820683
"old","process/bench-env.js","operation=""delete"" n=1000000",467125.49336422427,2.140752355
"new","process/bench-env.js","operation=""get"" n=1000000",373523.6456428357,2.677206682
"new","process/bench-env.js","operation=""set"" n=1000000",388349.05367195804,2.575003056
"new","process/bench-env.js","operation=""enumerate"" n=1000000",5167.404338852971,19.352075712
"new","process/bench-env.js","operation=""query"" n=1000000",606296.9203902768,1.649356885
"new","process/bench-env.js","operation=""delete"" n=1000000",485226.72219565045,2.060892268
"old","process/bench-hrtime.js","type=""raw"" n=1000000",4657759.890158098,0.214695481
"old","process/bench-hrtime.js","type=""diff"" n=1000000",4222171.99057292,0.236844923
"old","process/bench-hrtime.js","type=""bigint"" n=1000000",5221005.693089028,0.191533980
"new","process/bench-hrtime.js","type=""raw"" n=1000000",4380205.978835738,0.228299766
"new","process/bench-hrtime.js","type=""diff"" n=1000000",4773803.717727583,0.209476564
"new","process/bench-hrtime.js","type=""bigint"" n=1000000",4886653.151682623,0.204639038
"old","process/bench-hrtime.js","type=""raw"" n=1000000",4657759.890158098,0.214695481
"old","process/bench-hrtime.js","type=""diff"" n=1000000",4222171.99057292,0.236844923
"old","process/bench-hrtime.js","type=""bigint"" n=1000000",5221005.693089028,0.191533980
"new","process/bench-hrtime.js","type=""raw"" n=1000000",4482550.044544669,0.223087303
"new","process/bench-hrtime.js","type=""diff"" n=1000000",4665198.028115964,0.214353173
"new","process/bench-hrtime.js","type=""bigint"" n=1000000",5287607.34583177,0.189121456
"old","process/bench-hrtime.js","type=""raw"" n=1000000",4657759.890158098,0.214695481
"old","process/bench-hrtime.js","type=""diff"" n=1000000",4222171.99057292,0.236844923
"old","process/bench-hrtime.js","type=""bigint"" n=1000000",5221005.693089028,0.191533980
"new","process/bench-hrtime.js","type=""raw"" n=1000000",4181365.665302903,0.239156314
"new","process/bench-hrtime.js","type=""diff"" n=1000000",3799885.4615724855,0.263165827
"new","process/bench-hrtime.js","type=""bigint"" n=1000000",5172410.805590311,0.193333445
"old","process/coverage.js","n=100000",61668.642410743465,1.621569668
"new","process/coverage.js","n=100000",65416.18577429559,1.528673658
"old","process/coverage.js","n=100000",61668.642410743465,1.621569668
"new","process/coverage.js","n=100000",65535.18165788753,1.525897960
"old","process/coverage.js","n=100000",61668.642410743465,1.621569668
"new","process/coverage.js","n=100000",64433.96562450383,1.551976493
"old","process/getActiveResourcesInfo.js","n=100000 immediatesCount=10000 timeoutsCount=10000 requestsCount=10000 handlesCount=10000",57.44614710218813,1740.760782827
"new","process/getActiveResourcesInfo.js","n=100000 immediatesCount=10000 timeoutsCount=10000 requestsCount=10000 handlesCount=10000",61.70754561412661,1620.547357779
"old","process/getActiveResourcesInfo.js","n=100000 immediatesCount=10000 timeoutsCount=10000 requestsCount=10000 handlesCount=10000",57.44614710218813,1740.760782827
"new","process/getActiveResourcesInfo.js","n=100000 immediatesCount=10000 timeoutsCount=10000 requestsCount=10000 handlesCount=10000",62.85689092272275,1590.915467374
"old","process/getActiveResourcesInfo.js","n=100000 immediatesCount=10000 timeoutsCount=10000 requestsCount=10000 handlesCount=10000",57.44614710218813,1740.760782827
"new","process/getActiveResourcesInfo.js","n=100000 immediatesCount=10000 timeoutsCount=10000 requestsCount=10000 handlesCount=10000",59.41045153231699,1683.205520591
"old","process/memoryUsage.js","n=100000",26271.51834947479,3.806403523
"new","process/memoryUsage.js","n=100000",26486.71704820422,3.775477339
"old","process/memoryUsage.js","n=100000",26271.51834947479,3.806403523
"new","process/memoryUsage.js","n=100000",26482.00200308168,3.776149552
"old","process/memoryUsage.js","n=100000",26271.51834947479,3.806403523
"new","process/memoryUsage.js","n=100000",26079.102199158628,3.834487830
"old","process/next-tick-breadth-args.js","n=10000000",351111.969039319,28.480943066
"new","process/next-tick-breadth-args.js","n=10000000",262609.71140091604,38.079322911
"old","process/next-tick-breadth-args.js","n=10000000",351111.969039319,28.480943066
"new","process/next-tick-breadth-args.js","n=10000000",343107.20981427224,29.145409114
"old","process/next-tick-breadth-args.js","n=10000000",351111.969039319,28.480943066
"new","process/next-tick-breadth-args.js","n=10000000",304170.3857228666,32.876310349
"old","process/next-tick-breadth.js","n=10000000",454196.06121115765,22.016923646
"new","process/next-tick-breadth.js","n=10000000",487940.9078812193,20.494284940
"old","process/next-tick-breadth.js","n=10000000",454196.06121115765,22.016923646
"new","process/next-tick-breadth.js","n=10000000",408010.85618149675,24.509151775
"old","process/next-tick-breadth.js","n=10000000",454196.06121115765,22.016923646
"new","process/next-tick-breadth.js","n=10000000",330368.01072463574,30.269274492
"old","process/next-tick-depth-args.js","n=7000000",1094616.0263353533,6.394936518
"new","process/next-tick-depth-args.js","n=7000000",1179457.7175406704,5.934930855
"old","process/next-tick-depth-args.js","n=7000000",1094616.0263353533,6.394936518
"new","process/next-tick-depth-args.js","n=7000000",1085516.139585776,6.448545300
"old","process/next-tick-depth-args.js","n=7000000",1094616.0263353533,6.394936518
"new","process/next-tick-depth-args.js","n=7000000",1194981.0093592384,5.857833677
"old","process/next-tick-depth.js","n=7000000",1436232.6897283094,4.873862049
"new","process/next-tick-depth.js","n=7000000",1504560.8717699607,4.652520301
"old","process/next-tick-depth.js","n=7000000",1436232.6897283094,4.873862049
"new","process/next-tick-depth.js","n=7000000",1353699.798892888,5.171013548
"old","process/next-tick-depth.js","n=7000000",1436232.6897283094,4.873862049
"new","process/next-tick-depth.js","n=7000000",1416946.7571804996,4.940199739
"old","process/next-tick-exec-args.js","n=4000000",1490819.1493696694,2.683088691
"new","process/next-tick-exec-args.js","n=4000000",881780.9066907148,4.536274226
"old","process/next-tick-exec-args.js","n=4000000",1490819.1493696694,2.683088691
"new","process/next-tick-exec-args.js","n=4000000",2081641.8334628113,1.921560153
"old","process/next-tick-exec-args.js","n=4000000",1490819.1493696694,2.683088691
"new","process/next-tick-exec-args.js","n=4000000",1579614.1318598692,2.532264000
"old","process/next-tick-exec.js","n=4000000",3566136.8319284846,1.121661952
"new","process/next-tick-exec.js","n=4000000",718558.7695167967,5.566698466
"old","process/next-tick-exec.js","n=4000000",3566136.8319284846,1.121661952
"new","process/next-tick-exec.js","n=4000000",1664997.4962704212,2.402406015
"old","process/next-tick-exec.js","n=4000000",3566136.8319284846,1.121661952
"new","process/next-tick-exec.js","n=4000000",1206169.8141869497,3.316282627
"old","process/next-tick-loop-args.js","loop=100 n=10000",8469.384559983504,1.180723337
"old","process/next-tick-loop-args.js","loop=200 n=10000",4605.949880477052,2.171104823
"old","process/next-tick-loop-args.js","loop=100 n=20000",9191.917480226315,2.175824581
"old","process/next-tick-loop-args.js","loop=200 n=20000",4845.121077661908,4.127863820
"old","process/next-tick-loop-args.js","loop=100 n=40000",9197.46975684718,4.349022183
"old","process/next-tick-loop-args.js","loop=200 n=40000",4871.413042040573,8.211169871
"new","process/next-tick-loop-args.js","loop=100 n=10000",8438.606489333453,1.185029781
"new","process/next-tick-loop-args.js","loop=200 n=10000",4711.524757479763,2.122455153
"new","process/next-tick-loop-args.js","loop=100 n=20000",9216.759976806725,2.169959948
"new","process/next-tick-loop-args.js","loop=200 n=20000",4816.890881047488,4.152055858
"new","process/next-tick-loop-args.js","loop=100 n=40000",9554.129693153105,4.186671239
"new","process/next-tick-loop-args.js","loop=200 n=40000",4758.727702725865,8.405608074
"old","process/next-tick-loop-args.js","loop=100 n=10000",8469.384559983504,1.180723337
"old","process/next-tick-loop-args.js","loop=200 n=10000",4605.949880477052,2.171104823
"old","process/next-tick-loop-args.js","loop=100 n=20000",9191.917480226315,2.175824581
"old","process/next-tick-loop-args.js","loop=200 n=20000",4845.121077661908,4.127863820
"old","process/next-tick-loop-args.js","loop=100 n=40000",9197.46975684718,4.349022183
"old","process/next-tick-loop-args.js","loop=200 n=40000",4871.413042040573,8.211169871
"new","process/next-tick-loop-args.js","loop=100 n=10000",6703.96835554242,1.491653819
"new","process/next-tick-loop-args.js","loop=200 n=10000",4721.84887271463,2.117814498
"new","process/next-tick-loop-args.js","loop=100 n=20000",9130.375695977838,2.190490366
"new","process/next-tick-loop-args.js","loop=200 n=20000",4816.943827272178,4.152010220
"new","process/next-tick-loop-args.js","loop=100 n=40000",9070.361580286322,4.409967524
"new","process/next-tick-loop-args.js","loop=200 n=40000",4815.965860933734,8.305706717
"old","process/next-tick-loop-args.js","loop=100 n=10000",8469.384559983504,1.180723337
"old","process/next-tick-loop-args.js","loop=200 n=10000",4605.949880477052,2.171104823
"old","process/next-tick-loop-args.js","loop=100 n=20000",9191.917480226315,2.175824581
"old","process/next-tick-loop-args.js","loop=200 n=20000",4845.121077661908,4.127863820
"old","process/next-tick-loop-args.js","loop=100 n=40000",9197.46975684718,4.349022183
"old","process/next-tick-loop-args.js","loop=200 n=40000",4871.413042040573,8.211169871
"new","process/next-tick-loop-args.js","loop=100 n=10000",8455.660078196439,1.182639783
"new","process/next-tick-loop-args.js","loop=200 n=10000",4749.836569404509,2.105335595
"new","process/next-tick-loop-args.js","loop=100 n=20000",9038.552307080172,2.212743736
"new","process/next-tick-loop-args.js","loop=200 n=20000",4894.053877698013,4.086591709
"new","process/next-tick-loop-args.js","loop=100 n=40000",9330.3324054593,4.287092706
"new","process/next-tick-loop-args.js","loop=200 n=40000",4685.5726374664555,8.536843433
"old","process/next-tick-loop.js","loop=100 n=10000",14307.383021691825,0.698939840
"old","process/next-tick-loop.js","loop=200 n=10000",7219.841883672227,1.385071884
"old","process/next-tick-loop.js","loop=100 n=20000",14024.669958248292,1.426058514
"old","process/next-tick-loop.js","loop=200 n=20000",7185.25237727443,2.783479125
"old","process/next-tick-loop.js","loop=100 n=40000",15049.093999074179,2.657967317
"old","process/next-tick-loop.js","loop=200 n=40000",8524.865218710707,4.692156295
"new","process/next-tick-loop.js","loop=100 n=10000",13408.626723460908,0.745788529
"new","process/next-tick-loop.js","loop=200 n=10000",7637.444135857588,1.309338546
"new","process/next-tick-loop.js","loop=100 n=20000",14692.11491220823,1.361274406
"new","process/next-tick-loop.js","loop=200 n=20000",7941.312320165632,2.518475435
"new","process/next-tick-loop.js","loop=100 n=40000",16142.408541230528,2.477944967
"new","process/next-tick-loop.js","loop=200 n=40000",8568.474371392937,4.668275619
"old","process/next-tick-loop.js","loop=100 n=10000",14307.383021691825,0.698939840
"old","process/next-tick-loop.js","loop=200 n=10000",7219.841883672227,1.385071884
"old","process/next-tick-loop.js","loop=100 n=20000",14024.669958248292,1.426058514
"old","process/next-tick-loop.js","loop=200 n=20000",7185.25237727443,2.783479125
"old","process/next-tick-loop.js","loop=100 n=40000",15049.093999074179,2.657967317
"old","process/next-tick-loop.js","loop=200 n=40000",8524.865218710707,4.692156295
"new","process/next-tick-loop.js","loop=100 n=10000",14169.925749589072,0.705720000
"new","process/next-tick-loop.js","loop=200 n=10000",7988.967057540674,1.251726278
"new","process/next-tick-loop.js","loop=100 n=20000",13918.462974335147,1.436940274
"new","process/next-tick-loop.js","loop=200 n=20000",7196.3527680941115,2.779185602
"new","process/next-tick-loop.js","loop=100 n=40000",16120.990243577915,2.481237157
"new","process/next-tick-loop.js","loop=200 n=40000",8624.673032904524,4.637856977
"old","process/next-tick-loop.js","loop=100 n=10000",14307.383021691825,0.698939840
"old","process/next-tick-loop.js","loop=200 n=10000",7219.841883672227,1.385071884
"old","process/next-tick-loop.js","loop=100 n=20000",14024.669958248292,1.426058514
"old","process/next-tick-loop.js","loop=200 n=20000",7185.25237727443,2.783479125
"old","process/next-tick-loop.js","loop=100 n=40000",15049.093999074179,2.657967317
"old","process/next-tick-loop.js","loop=200 n=40000",8524.865218710707,4.692156295
"new","process/next-tick-loop.js","loop=100 n=10000",13454.089491049446,0.743268432
"new","process/next-tick-loop.js","loop=200 n=10000",7194.429630554268,1.389964252
"new","process/next-tick-loop.js","loop=100 n=20000",13921.034684800838,1.436674820
"new","process/next-tick-loop.js","loop=200 n=20000",7090.187535350412,2.820799859
"new","process/next-tick-loop.js","loop=100 n=40000",15834.574132871592,2.526117827
"new","process/next-tick-loop.js","loop=200 n=40000",8340.004261229267,4.796160619
"old","process/queue-microtask-breadth.js","n=400000",313737.66247917636,1.274950533
"new","process/queue-microtask-breadth.js","n=400000",252066.47419673108,1.586882989
"old","process/queue-microtask-breadth.js","n=400000",313737.66247917636,1.274950533
"new","process/queue-microtask-breadth.js","n=400000",305041.9811776911,1.311294919
"old","process/queue-microtask-breadth.js","n=400000",313737.66247917636,1.274950533
"new","process/queue-microtask-breadth.js","n=400000",302543.160867838,1.322125408
"old","process/queue-microtask-depth.js","n=1200000",1119737.6268117442,1.071679625
"new","process/queue-microtask-depth.js","n=1200000",1112430.5392229767,1.078719037
"old","process/queue-microtask-depth.js","n=1200000",1119737.6268117442,1.071679625
"new","process/queue-microtask-depth.js","n=1200000",1065086.8144007996,1.126668722
"old","process/queue-microtask-depth.js","n=1200000",1119737.6268117442,1.071679625
"new","process/queue-microtask-depth.js","n=1200000",1174580.7994293433,1.021641083
"old","process/resourceUsage.js","n=100000",292290.8874703116,0.342124932
"new","process/resourceUsage.js","n=100000",286192.89181111933,0.349414688
"old","process/resourceUsage.js","n=100000",292290.8874703116,0.342124932
"new","process/resourceUsage.js","n=100000",286256.1653638204,0.349337454
"old","process/resourceUsage.js","n=100000",292290.8874703116,0.342124932
"new","process/resourceUsage.js","n=100000",290537.1551741252,0.344190057
